2025-10-14 16:14:23,204 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95804","dataSize":"268435456","replicationType":"NONE","Transaction":"191609"} | ret=SUCCESS |  
2025-10-14 16:14:23,204 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,205 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,206 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,206 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,207 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95798","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191610"} | ret=SUCCESS |  
2025-10-14 16:14:23,207 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,209 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95805","dataSize":"268435456","replicationType":"NONE","Transaction":"191611"} | ret=SUCCESS |  
2025-10-14 16:14:23,209 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95795","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191612"} | ret=SUCCESS |  
2025-10-14 16:14:23,209 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,209 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95799","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191613"} | ret=SUCCESS |  
2025-10-14 16:14:23,210 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95806","dataSize":"268435456","replicationType":"NONE","Transaction":"191614"} | ret=SUCCESS |  
2025-10-14 16:14:23,210 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95800","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191615"} | ret=SUCCESS |  
2025-10-14 16:14:23,210 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95807","dataSize":"268435456","replicationType":"NONE","Transaction":"191616"} | ret=SUCCESS |  
2025-10-14 16:14:23,210 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95801","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191617"} | ret=SUCCESS |  
2025-10-14 16:14:23,211 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95796","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191618"} | ret=SUCCESS |  
2025-10-14 16:14:23,211 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95811","dataSize":"268435456","replicationType":"NONE","Transaction":"191619"} | ret=SUCCESS |  
2025-10-14 16:14:23,211 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95803","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191620"} | ret=SUCCESS |  
2025-10-14 16:14:23,211 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95802","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191621"} | ret=SUCCESS |  
2025-10-14 16:14:23,211 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95797","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191622"} | ret=SUCCESS |  
2025-10-14 16:14:23,211 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95810","dataSize":"268435456","replicationType":"NONE","Transaction":"191623"} | ret=SUCCESS |  
2025-10-14 16:14:23,212 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95809","dataSize":"268435456","replicationType":"NONE","Transaction":"191624"} | ret=SUCCESS |  
2025-10-14 16:14:23,212 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95812","dataSize":"268435456","replicationType":"NONE","Transaction":"191625"} | ret=SUCCESS |  
