2023-05-18 03:37:51,110 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:52,906 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:53,446 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:53,690 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:53,730 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:54,007 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:54,243 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:54,416 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:54,603 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:55,867 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:57,394 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-18 03:37:59,696 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:59,697 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:59,765 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:00,941 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:01,343 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:22,917 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:24,204 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:29,737 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:30,777 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:31,356 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:32,994 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-05-18 03:38:36,656 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:36,686 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_CONTAINER_WITH_PIPELINE {containerID=#1} | ret=SUCCESS |  
2023-05-18 03:38:37,236 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:38,010 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:41,689 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-18 03:38:45,084 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-05-18 03:38:48,005 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:48,025 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_CONTAINER_WITH_PIPELINE {containerID=#2} | ret=SUCCESS |  
2023-05-18 03:38:48,219 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:48,982 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:52,906 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:55,681 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=ALLOCATE_BLOCK {replication=EC{rs-3-2-1024k}, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-05-18 03:38:58,834 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:38:58,844 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
