2026-07-26 03:43:00,678 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"31549472-b5a5-476c-ad5b-82d0b88b38cf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:01,310 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-07-26 03:43:01,382 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=QUERY_NODE {"queryScope":"CLUSTER","opState":"null","state":"null","clientVersion":"3","poolName":""} | ret=SUCCESS |  
2026-07-26 03:43:01,638 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:02,089 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"dbe27f8e-e764-4e47-8e6f-526db192a258","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:08,972 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"05625a1e-cd57-4861-b282-8cde5f240c83","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:20,679 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"31549472-b5a5-476c-ad5b-82d0b88b38cf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:21,641 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:22,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"dbe27f8e-e764-4e47-8e6f-526db192a258","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:28,972 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"05625a1e-cd57-4861-b282-8cde5f240c83","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:40,678 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"31549472-b5a5-476c-ad5b-82d0b88b38cf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:41,640 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:43:42,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"dbe27f8e-e764-4e47-8e6f-526db192a258","term":"2","command":"[]"} | ret=SUCCESS |  
