2024-04-06 20:59:22,994 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/73]} | ret=SUCCESS | perf={metaLatencyMs=99, sizeByte=10240, opLatencyMs=362} |  
2024-04-06 20:59:23,000 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/75]} | ret=SUCCESS | perf={metaLatencyMs=74, sizeByte=10240, opLatencyMs=277} |  
2024-04-06 20:59:23,047 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/77]} | ret=SUCCESS | perf={metaLatencyMs=51, sizeByte=10240, opLatencyMs=188} |  
2024-04-06 20:59:23,182 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/78]} | ret=SUCCESS | perf={metaLatencyMs=108, sizeByte=10240, opLatencyMs=322} |  
2024-04-06 20:59:23,222 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/80]} | ret=SUCCESS | perf={metaLatencyMs=102, sizeByte=10240, opLatencyMs=330} |  
2024-04-06 20:59:23,303 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/79]} | ret=SUCCESS | perf={metaLatencyMs=148, sizeByte=10240, opLatencyMs=472} |  
2024-04-06 20:59:23,307 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/85]} | ret=SUCCESS | perf={metaLatencyMs=79, sizeByte=10240, opLatencyMs=254} |  
2024-04-06 20:59:23,334 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/76]} | ret=SUCCESS | perf={metaLatencyMs=108, sizeByte=10240, opLatencyMs=473} |  
2024-04-06 20:59:23,489 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/83]} | ret=SUCCESS | perf={metaLatencyMs=81, sizeByte=10240, opLatencyMs=436} |  
2024-04-06 20:59:23,499 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/84]} | ret=SUCCESS | perf={metaLatencyMs=81, sizeByte=10240, opLatencyMs=447} |  
