2025-06-14 12:32:38,326 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=DELETE_BUCKET {volume=s3v, bucket=ozone-test-eosbcktnnr, Transaction=63} | ret=SUCCESS |  
2025-06-14 12:32:38,362 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=README1.md, dataSize=4068, replicationType=NONE, Transaction=65} | ret=SUCCESS |  
2025-06-14 12:32:38,410 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMMIT_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE, ETag=d5568357dc4eaab62bd52312f884c9be, Transaction=67} | ret=SUCCESS |  
2025-06-14 12:32:38,644 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=DELETE_KEYS {volume=s3v, bucket=bucket-tgdkxlhtcm, deletedKeysList={key=README4.md, dataSize=4068, replicationConfig=RATIS/THREE}, {key=README3.md, dataSize=4068, replicationConfig=RATIS/THREE}, unDeletedKeysList=, Transaction=69} | ret=SUCCESS |  
2025-06-14 12:32:38,696 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=INITIATE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=0, uploadID=01976e6d-7d16-7121-af26-47eb742af79a-114681732050321421, Transaction=71} | ret=SUCCESS |  
2025-06-14 12:32:38,735 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=10485761, Transaction=73} | ret=SUCCESS |  
2025-06-14 12:32:38,949 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=10485761, replicationType=RATIS, replicationFactor=THREE, clientID=114681732053270542, Transaction=75} | ret=SUCCESS |  
2025-06-14 12:32:39,431 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=10485761, ETag=e6bfa8976a09521d4cacda85cf0c8886-2, uploadID=01976e6d-7d16-7121-af26-47eb742af79a-114681732050321421, partNumber=1, partName=/s3v/bucket-tgdkxlhtcm/bmqnemqtzm-01976e6d-7d16-7121-af26-47eb742af79a-114681732050321421-1, Transaction=77} | ret=SUCCESS |  
2025-06-14 12:32:39,485 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=10485761, Transaction=79} | ret=SUCCESS |  
2025-06-14 12:32:39,761 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=10485761, replicationType=RATIS, replicationFactor=THREE, clientID=114681732102029327, Transaction=81} | ret=SUCCESS |  
2025-06-14 12:32:40,162 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=10485761, ETag=e6bfa8976a09521d4cacda85cf0c8886-2, uploadID=01976e6d-7d16-7121-af26-47eb742af79a-114681732050321421, partNumber=2, partName=/s3v/bucket-tgdkxlhtcm/bmqnemqtzm-01976e6d-7d16-7121-af26-47eb742af79a-114681732050321421-2, Transaction=83} | ret=SUCCESS |  
2025-06-14 12:32:40,217 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-tgdkxlhtcm, key=bmqnemqtzm, dataSize=0, uploadID=01976e6d-7d16-7121-af26-47eb742af79a-114681732050321421, multipartList=[partNumber: 1 partName: "e6bfa8976a09521d4cacda85cf0c8886-2" eTag: "e6bfa8976a09521d4cacda85cf0c8886-2" , partNumber: 2 partName: "e6bfa8976a09521d4cacda85cf0c8886-2" eTag: "e6bfa8976a09521d4cacda85cf0c8886-2" ], Transaction=85} | ret=SUCCESS |  
2025-06-14 12:32:40,806 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-3754434369, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904360791, bucketEncryptionKey=null, modificationTime=1749904360791, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=87} | ret=SUCCESS |  
2025-06-14 12:32:41,439 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-9466831052, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904361426, bucketEncryptionKey=null, modificationTime=1749904361426, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=89} | ret=SUCCESS |  
2025-06-14 12:32:42,013 | ERROR | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-9466831052, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[], isVersionEnabled=false, storageType=DISK, creationTime=1749904361993, bucketEncryptionKey=null, modificationTime=1749904361993, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=91} | ret=FAILURE | BUCKET_ALREADY_EXISTS org.apache.hadoop.ozone.om.exceptions.OMException: Bucket already exist
	at org.apache.hadoop.ozone.om.request.bucket.OMBucketCreateRequest.validateAndUpdateCache(OMBucketCreateRequest.java:235)
	at org.apache.hadoop.ozone.protocolPB.OzoneManagerRequestHandler.lambda$0(OzoneManagerRequestHandler.java:418) 
2025-06-14 12:32:43,458 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-6834924861, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904363450, bucketEncryptionKey=null, modificationTime=1749904363450, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=93} | ret=SUCCESS |  
2025-06-14 12:32:46,448 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {volume=s3v, bucket=conf, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904366427, bucketEncryptionKey=null, modificationTime=1749904366427, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=95} | ret=SUCCESS |  
2025-06-14 12:32:47,082 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=ALLOCATE_KEY {volume=s3v, bucket=conf, key=testkey, dataSize=65536, replicationType=NONE, Transaction=97} | ret=SUCCESS |  
2025-06-14 12:32:47,158 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMMIT_KEY {volume=s3v, bucket=conf, key=testkey, dataSize=65536, replicationType=RATIS, replicationFactor=THREE, ETag=78b0b9b0628a6f85570b5dd2c3790b33, Transaction=99} | ret=SUCCESS |  
2025-06-14 12:32:48,803 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {volume=s3v, bucket=jmx, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904368787, bucketEncryptionKey=null, modificationTime=1749904368787, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=101} | ret=SUCCESS |  
2025-06-14 12:32:49,373 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=s3v, bucket=jmx, key=testkey, dataSize=65536, replicationType=NONE, Transaction=103} | ret=SUCCESS |  
2025-06-14 12:32:49,424 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=COMMIT_KEY {volume=s3v, bucket=jmx, key=testkey, dataSize=65536, replicationType=RATIS, replicationFactor=THREE, ETag=78b0b9b0628a6f85570b5dd2c3790b33, Transaction=105} | ret=SUCCESS |  
2025-06-14 12:32:51,120 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=CREATE_BUCKET {volume=s3v, bucket=logs, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904371109, bucketEncryptionKey=null, modificationTime=1749904371109, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=107} | ret=SUCCESS |  
2025-06-14 12:32:51,742 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=ALLOCATE_KEY {volume=s3v, bucket=logs, key=testkey, dataSize=65536, replicationType=NONE, Transaction=109} | ret=SUCCESS |  
2025-06-14 12:32:51,821 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMMIT_KEY {volume=s3v, bucket=logs, key=testkey, dataSize=65536, replicationType=RATIS, replicationFactor=THREE, ETag=78b0b9b0628a6f85570b5dd2c3790b33, Transaction=111} | ret=SUCCESS |  
