2023-11-22 02:05:26,625 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.1.gz, dataSize=8388608, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-11-22 02:05:26,629 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.1.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=THREE, clientID=111451748866457607} | ret=SUCCESS |  
2023-11-22 02:05:26,651 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.1.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=THREE, clientID=111451748867899400} | ret=SUCCESS |  
2023-11-22 02:05:47,236 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.1.gz, dataSize=2097153, replicationType=NONE, replicationFactor=ZERO, partNumber=2, partName=/s3v/bucket-ozone-test-0466115121/multiUpload.1.gz-899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774-2} | ret=SUCCESS |  
2023-11-22 02:05:47,433 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.1.gz, dataSize=8388608, replicationType=NONE, replicationFactor=ZERO, partNumber=1, partName=/s3v/bucket-ozone-test-0466115121/multiUpload.1.gz-899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774-1} | ret=SUCCESS |  
2023-11-22 02:05:47,466 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:05:47,495 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.1.gz, dataSize=0, replicationType=NONE, replicationFactor=ZERO, multipartList=[partNumber: 1 partName: "/s3v/bucket-ozone-test-0466115121/multiUpload.1.gz-899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774-1" , partNumber: 2 partName: "/s3v/bucket-ozone-test-0466115121/multiUpload.1.gz-899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774-2" ]} | ret=SUCCESS |  
2023-11-22 02:05:47,521 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:05:47,525 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-0466115121} | ret=SUCCESS |  
2023-11-22 02:05:47,534 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=INITIATE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-11-22 02:05:47,576 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:05:47,578 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:05:47,582 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-0466115121} | ret=SUCCESS |  
2023-11-22 02:05:47,582 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-0466115121} | ret=SUCCESS |  
2023-11-22 02:05:47,589 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=2097153, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-11-22 02:05:47,596 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=8388608, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-11-22 02:05:47,629 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=THREE, clientID=111451750241796107} | ret=SUCCESS |  
2023-11-22 02:05:47,633 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=THREE, clientID=111451750241796106} | ret=SUCCESS |  
2023-11-22 02:06:08,062 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=2097153, replicationType=NONE, replicationFactor=ZERO, partNumber=2, partName=/s3v/bucket-ozone-test-0466115121/multiUpload.2.gz-42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553-2} | ret=SUCCESS |  
2023-11-22 02:06:08,194 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=8388608, replicationType=NONE, replicationFactor=ZERO, partNumber=1, partName=/s3v/bucket-ozone-test-0466115121/multiUpload.2.gz-42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553-1} | ret=SUCCESS |  
2023-11-22 02:06:08,208 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:06:08,214 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-0466115121, key=multiUpload.2.gz, dataSize=0, replicationType=NONE, replicationFactor=ZERO, multipartList=[partNumber: 1 partName: "/s3v/bucket-ozone-test-0466115121/multiUpload.2.gz-42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553-1" , partNumber: 2 partName: "/s3v/bucket-ozone-test-0466115121/multiUpload.2.gz-42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553-2" ]} | ret=SUCCESS |  
2023-11-22 02:06:08,226 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:06:08,230 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-nqaykudoht, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS], group:testuser:n[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1700618768228, bucketEncryptionKey=null, modificationTime=1700618768228, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-11-22 02:06:08,246 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:06:08,253 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=LIST_BUCKETS {volume=s3v, startKey=, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2023-11-22 02:06:08,258 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=LIST_BUCKETS {volume=s3v, startKey=ozone-test-vrddxlbyhk, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2023-11-22 02:06:08,286 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:06:08,290 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-0466115121} | ret=SUCCESS |  
2023-11-22 02:06:08,303 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:06:08,311 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=DELETE_BUCKET {volume=s3v, bucket=ozone-test-vrddxlbyhk} | ret=SUCCESS |  
2023-11-22 02:06:08,328 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-11-22 02:06:08,331 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-0466115121} | ret=SUCCESS |  
2023-11-22 02:06:08,334 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-0466115121} | ret=SUCCESS |  
2023-11-22 02:06:08,356 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-11-22 02:06:08,466 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.4 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=README1.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-11-22 02:06:08,483 | INFO  | OMAudit | user=s3g/s3g@EXAMPLE.COM | ip=172.20.0.4 | op=READ_KEY {volume=s3v, bucket=bucket-ozone-test-0466115121, key=README1.md, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
