2023-11-22 02:06:39,274 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512119]} | ret=SUCCESS |  
2023-11-22 02:06:39,281 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512122]} | ret=SUCCESS |  
2023-11-22 02:06:39,305 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512130]} | ret=SUCCESS |  
2023-11-22 02:06:39,304 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512128]} | ret=SUCCESS |  
2023-11-22 02:06:39,307 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512127]} | ret=SUCCESS |  
2023-11-22 02:06:39,327 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512123]} | ret=SUCCESS |  
2023-11-22 02:06:39,336 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512129]} | ret=SUCCESS |  
2023-11-22 02:06:39,357 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512131]} | ret=SUCCESS |  
2023-11-22 02:06:39,357 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512124]} | ret=SUCCESS |  
2023-11-22 02:06:39,358 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512132]} | ret=SUCCESS |  
2023-11-22 02:06:39,358 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512126]} | ret=SUCCESS |  
2023-11-22 02:06:39,360 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512125]} | ret=SUCCESS |  
2023-11-22 02:06:39,382 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512134]} | ret=SUCCESS |  
2023-11-22 02:06:39,383 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512133]} | ret=SUCCESS |  
2023-11-22 02:06:39,383 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512135]} | ret=SUCCESS |  
2023-11-22 02:06:39,393 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512136]} | ret=SUCCESS |  
2023-11-22 02:06:39,402 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512138]} | ret=SUCCESS |  
2023-11-22 02:06:39,410 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512139]} | ret=SUCCESS |  
2023-11-22 02:06:39,413 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512141]} | ret=SUCCESS |  
2023-11-22 02:06:39,426 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512142]} | ret=SUCCESS |  
2023-11-22 02:06:39,431 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512137]} | ret=SUCCESS |  
2023-11-22 02:06:39,431 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512143]} | ret=SUCCESS |  
2023-11-22 02:06:39,435 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512146]} | ret=SUCCESS |  
2023-11-22 02:06:39,443 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512144]} | ret=SUCCESS |  
2023-11-22 02:06:39,443 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512145]} | ret=SUCCESS |  
2023-11-22 02:06:39,454 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512140]} | ret=SUCCESS |  
2023-11-22 02:06:39,465 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512147]} | ret=SUCCESS |  
2023-11-22 02:06:39,488 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512149]} | ret=SUCCESS |  
2023-11-22 02:06:39,500 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512148]} | ret=SUCCESS |  
2023-11-22 02:06:39,511 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512156]} | ret=SUCCESS |  
2023-11-22 02:06:39,512 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512154]} | ret=SUCCESS |  
2023-11-22 02:06:39,518 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512150]} | ret=SUCCESS |  
2023-11-22 02:06:39,528 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512157]} | ret=SUCCESS |  
2023-11-22 02:06:39,532 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512151]} | ret=SUCCESS |  
2023-11-22 02:06:39,533 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512158]} | ret=SUCCESS |  
2023-11-22 02:06:39,537 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512152]} | ret=SUCCESS |  
2023-11-22 02:06:39,548 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512153]} | ret=SUCCESS |  
2023-11-22 02:06:39,554 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512162]} | ret=SUCCESS |  
