2023-09-07 18:26:08,418 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-09-07 18:26:09,970 | ERROR | S3GAudit | user=null | ip=172.18.0.5 | op=AUTH(GET /) {} | ret=FAILURE | org.apache.hadoop.ozone.s3.signature.MalformedResourceException: AWS access id is empty. credential: /20230907/us-west-1/s3/aws4_request
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseCredentials(AuthorizationV4HeaderParser.java:170)
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseSignature(AuthorizationV4HeaderParser.java:91) 
2023-09-07 18:26:17,389 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg5]} | ret=SUCCESS |  
2023-09-07 18:26:17,399 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg8]} | ret=SUCCESS |  
2023-09-07 18:26:17,413 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg4]} | ret=SUCCESS |  
2023-09-07 18:26:17,427 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg0]} | ret=SUCCESS |  
2023-09-07 18:26:17,439 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg1]} | ret=SUCCESS |  
2023-09-07 18:26:17,471 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg9]} | ret=SUCCESS |  
2023-09-07 18:26:17,479 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg6]} | ret=SUCCESS |  
2023-09-07 18:26:17,568 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg2]} | ret=SUCCESS |  
2023-09-07 18:26:17,583 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg7]} | ret=SUCCESS |  
2023-09-07 18:26:17,600 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg3]} | ret=SUCCESS |  
2023-09-07 18:26:17,667 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg12]} | ret=SUCCESS |  
2023-09-07 18:26:17,698 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg17]} | ret=SUCCESS |  
2023-09-07 18:26:17,718 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg10]} | ret=SUCCESS |  
2023-09-07 18:26:17,742 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg11]} | ret=SUCCESS |  
2023-09-07 18:26:17,747 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg13]} | ret=SUCCESS |  
2023-09-07 18:26:17,756 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg18]} | ret=SUCCESS |  
2023-09-07 18:26:17,761 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg19]} | ret=SUCCESS |  
2023-09-07 18:26:17,768 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg16]} | ret=SUCCESS |  
2023-09-07 18:26:17,775 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg15]} | ret=SUCCESS |  
2023-09-07 18:26:17,777 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[s3bg14]} | ret=SUCCESS |  
