2026-02-26 14:22:41,860 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0001/job_1772115730784_0001_1_conf.xml","dataSize":"301768","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"41"} | ret=SUCCESS |  
2026-02-26 14:23:02,197 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary/1/_temporary/attempt_1772115730784_0001_r_000000_0/part-r-00000","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"42"} | ret=SUCCESS |  
2026-02-26 14:23:02,905 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/reduce-out","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"43"} | ret=SUCCESS |  
2026-02-26 14:23:02,947 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/reduce-out","dataSize":"118","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"44"} | ret=SUCCESS |  
2026-02-26 14:23:02,994 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary/1/_temporary/attempt_1772115730784_0001_r_000000_0/part-r-00000","dataSize":"97","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"45"} | ret=SUCCESS |  
2026-02-26 14:23:03,043 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=RENAME_KEY {"volume":"volume1","bucket":"bucket1","dataSize":"0","srcKey":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary/1/_temporary/attempt_1772115730784_0001_r_000000_0","dstKey":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary/1/task_1772115730784_0001_r_000000","Transaction":"46"} | ret=SUCCESS |  
2026-02-26 14:23:03,066 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0001/COMMIT_STARTED","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"47"} | ret=SUCCESS |  
2026-02-26 14:23:03,117 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0001/COMMIT_STARTED","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"48"} | ret=SUCCESS |  
2026-02-26 14:23:03,137 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=RENAME_KEY {"volume":"volume1","bucket":"bucket1","dataSize":"0","srcKey":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary/1/task_1772115730784_0001_r_000000/part-r-00000","dstKey":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/part-r-00000","Transaction":"49"} | ret=SUCCESS |  
2026-02-26 14:23:03,162 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=DELETE_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary","Transaction":"50"} | ret=SUCCESS |  
2026-02-26 14:23:03,172 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_SUCCESS","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"51"} | ret=SUCCESS |  
2026-02-26 14:23:03,184 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_SUCCESS","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"52"} | ret=SUCCESS |  
2026-02-26 14:23:03,212 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0001/COMMIT_SUCCESS","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"53"} | ret=SUCCESS |  
2026-02-26 14:23:03,273 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0001/COMMIT_SUCCESS","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"54"} | ret=SUCCESS |  
2026-02-26 14:23:03,293 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0001/job_1772115730784_0001_1.jhist","dataSize":"46544","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"55"} | ret=SUCCESS |  
2026-02-26 14:23:03,372 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"history","key":"done_intermediate/hadoop/job_1772115730784_0001.summary_tmp","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"56"} | ret=SUCCESS |  
2026-02-26 14:23:03,420 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"user","bucket":"history","key":"done_intermediate/hadoop/job_1772115730784_0001.summary_tmp","dataSize":"356","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"57"} | ret=SUCCESS |  
2026-02-26 14:23:03,510 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"history","key":"done_intermediate/hadoop/job_1772115730784_0001-1772115749708-hadoop-QuasiMonteCarlo-1772115783215-3-1-SUCCEEDED-default-1772115758682.jhist_tmp","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"58"} | ret=SUCCESS |  
2026-02-26 14:23:03,544 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"user","bucket":"history","key":"done_intermediate/hadoop/job_1772115730784_0001-1772115749708-hadoop-QuasiMonteCarlo-1772115783215-3-1-SUCCEEDED-default-1772115758682.jhist_tmp","dataSize":"46544","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"59"} | ret=SUCCESS |  
2026-02-26 14:23:03,677 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"history","key":"done_intermediate/hadoop/job_1772115730784_0001_conf.xml_tmp","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"60"} | ret=SUCCESS |  
2026-02-26 14:23:03,696 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"user","bucket":"history","key":"done_intermediate/hadoop/job_1772115730784_0001_conf.xml_tmp","dataSize":"301768","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"61"} | ret=SUCCESS |  
2026-02-26 14:23:03,716 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=RENAME_KEY {"volume":"user","bucket":"history","dataSize":"0","srcKey":"done_intermediate/hadoop/job_1772115730784_0001.summary_tmp","dstKey":"done_intermediate/hadoop/job_1772115730784_0001.summary","Transaction":"62"} | ret=SUCCESS |  
2026-02-26 14:23:03,739 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=RENAME_KEY {"volume":"user","bucket":"history","dataSize":"0","srcKey":"done_intermediate/hadoop/job_1772115730784_0001_conf.xml_tmp","dstKey":"done_intermediate/hadoop/job_1772115730784_0001_conf.xml","Transaction":"63"} | ret=SUCCESS |  
2026-02-26 14:23:04,790 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=RENAME_KEY {"volume":"user","bucket":"history","dataSize":"0","srcKey":"done_intermediate/hadoop/job_1772115730784_0001-1772115749708-hadoop-QuasiMonteCarlo-1772115783215-3-1-SUCCEEDED-default-1772115758682.jhist_tmp","dstKey":"done_intermediate/hadoop/job_1772115730784_0001-1772115749708-hadoop-QuasiMonteCarlo-1772115783215-3-1-SUCCEEDED-default-1772115758682.jhist","Transaction":"64"} | ret=SUCCESS |  
2026-02-26 14:23:05,575 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=DELETE_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0001","Transaction":"65"} | ret=SUCCESS |  
2026-02-26 14:23:08,080 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=DELETE_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220","Transaction":"66"} | ret=SUCCESS |  
2026-02-26 14:23:08,845 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=CREATE_DIRECTORY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002","dataSize":"0","Transaction":"67"} | ret=SUCCESS |  
2026-02-26 14:23:10,090 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.jar","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"68"} | ret=SUCCESS |  
2026-02-26 14:23:10,145 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.jar","dataSize":"303314","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"69"} | ret=SUCCESS |  
2026-02-26 14:23:10,191 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=CREATE_FILE {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0002/job.split","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"70"} | ret=SUCCESS |  
