2023-03-16 15:09:00,358 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg19]} | ret=SUCCESS |  
2023-03-16 15:09:00,385 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg22]} | ret=SUCCESS |  
2023-03-16 15:09:00,484 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg13]} | ret=SUCCESS |  
2023-03-16 15:09:00,537 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg23]} | ret=SUCCESS |  
2023-03-16 15:09:00,581 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg21]} | ret=SUCCESS |  
2023-03-16 15:09:00,595 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg26]} | ret=SUCCESS |  
2023-03-16 15:09:00,639 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg24]} | ret=SUCCESS |  
2023-03-16 15:09:00,655 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg12]} | ret=SUCCESS |  
2023-03-16 15:09:00,683 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg27]} | ret=SUCCESS |  
2023-03-16 15:09:00,719 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg10]} | ret=SUCCESS |  
2023-03-16 15:09:00,718 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg28]} | ret=SUCCESS |  
2023-03-16 15:09:00,757 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg17]} | ret=SUCCESS |  
2023-03-16 15:09:00,865 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg29]} | ret=SUCCESS |  
2023-03-16 15:09:00,919 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg31]} | ret=SUCCESS |  
2023-03-16 15:09:00,919 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg34]} | ret=SUCCESS |  
2023-03-16 15:09:00,931 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg25]} | ret=SUCCESS |  
2023-03-16 15:09:00,966 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg32]} | ret=SUCCESS |  
2023-03-16 15:09:00,976 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg33]} | ret=SUCCESS |  
2023-03-16 15:09:00,987 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg18]} | ret=SUCCESS |  
2023-03-16 15:09:01,014 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg30]} | ret=SUCCESS |  
2023-03-16 15:09:01,031 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg35]} | ret=SUCCESS |  
2023-03-16 15:09:01,039 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg36]} | ret=SUCCESS |  
2023-03-16 15:09:01,108 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2023-03-16 15:09:01,204 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg39]} | ret=SUCCESS |  
2023-03-16 15:09:01,217 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg41]} | ret=SUCCESS |  
2023-03-16 15:09:01,226 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg42]} | ret=SUCCESS |  
2023-03-16 15:09:01,228 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg43]} | ret=SUCCESS |  
2023-03-16 15:09:01,217 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg37]} | ret=SUCCESS |  
2023-03-16 15:09:01,238 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
2023-03-16 15:09:01,241 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg40]} | ret=SUCCESS |  
